int_no;x;y;rue_1;rue_2;street_1;street_2;date_;all_pedest;pi;fi;fli;fri;fti;cli;cri;cti;acc;ln_pi;ln_fi;ln_fli;ln_fri;ln_fti;ln_cli;ln_cri;ln_cti;tot_crossw;number_of_;avg_crossw;tot_road_w;median;green_stra;half_phase;any_ped_pr;ped_countd;lt_protect;lt_restric;lt_prot_re;parking;north_veh;north_ped;east_veh;east_ped;south_veh;south_ped;west_veh;west_ped;total_lane;of_exclusi;any_exclus;commercial;curb_exten;all_red_an;new_half_r;distdt;ln_distdt;traffic_10000;ped_100;borough;;
856;299242.40625;5046670;Dandurand;Pie-IX;Dandurand;Pie-IX;18/12/2008;0;0;39501.21484375;806.8212890625;1247.97790527344;37446.41796875;0;0;0;0;0;10.5840873718262;6.69310188293457;7.12928009033203;10.5306663513184;0;0;0;62.7999992370605;3;20.8999996185303;57.2000007629395;1;0;1;1;1;0;1;1;1;19677.474609375;0;0;0;18540.375;0;1283.36486816406;0;6;0;0;0;0;0;1;6445.77490234375;8.77118015289307;3.95012140274048;0;Rosemont-La-Petite-Patrie;;
1740;300240.84375;5052627.5;Voie serv. A-40 Est;Sortie A-40 Est;Voie serv. A-40 Est;Sortie A-40 Est;07/10/2008;0;5.08698511123657;11146.7333984375;0;7573.853515625;3572.87915039062;0;38528.08203125;0;0;1.6266850233078;9.31890201568604;0;8.93245697021484;8.18112659454346;0;10.5591430664062;0;37.4000015258789;2;18.7000007629395;37.4000015258789;1;0;0;0;0;0;1;1;0;0;0;0;0;0;5.08698511123657;11146.7333984375;0;5;0;0;0;0;0;0;12443.302734375;9.4289379119873;1.11467337608337;0.0508698523044586;Anjou;;
1255;302850.96875;5046790.5;Notre-Dame;5376 Est (Vopak accès Ouest);Notre-Dame;5376 Est (Vopak accÞs Ouest);22/05/2009;0;0;40317.73828125;3.81670308113098;19.0835132598877;40294.83984375;0;0;0;0;0;10.604546546936;1.33938705921173;2.94882488250732;10.6039791107178;0;0;0;49.2999992370605;3;16.3999996185303;36.4000015258789;1;0;1;1;1;1;1;1;0;0;0;18314.447265625;0;0;0;22003.291015625;0;4;0;0;2;0;0;1;7490.337890625;8.9213695526123;4.03177404403687;0;Mercier-Hochelaga-Maisonneuve;;
1767;295783.34375;5034464.5;Angrignon;2505 Accès Dépôt à neige;Angrignon;2505 AccÞs DÚp¶t Ó neige;20/08/2009;0;0;19426.283203125;9.57808971405029;9.57808971405029;19407.126953125;0;0;0;0;0;9.87438201904297;2.2594780921936;2.2594780921936;9.8733959197998;0;0;0;92.5;3;30.7999992370605;63.5999984741211;1;0;0;0;0;1;1;1;0;10692.9794921875;0;9.57808971405029;0;8723.724609375;0;0;0;7;2;1;0;0;0;0;6721.0087890625;8.8129940032959;1.94262826442719;0;Lasalle;;
12625;297123.9375;5033000.5;Champlain;Gérald;Champlain;GÚrald;23/10/2007;0;4.62313985824585;11132.23046875;280.682495117188;246.728973388672;10604.8193359375;177.901519775391;570.331359863281;24513.783203125;0;1.53107404708862;9.31760025024414;5.6372241973877;5.50828981399536;9.26906394958496;5.18123006820679;6.34621810913086;10.106990814209;50.9000015258789;3;17;49.7999992370605;0;0;0;0;0;0;0;0;0;2.26356911659241;0;5498.2080078125;2.31156992912292;384.806671142578;2.31156992912292;5246.9521484375;0;2;0;0;0;0;0;0;7529.126953125;8.92653465270996;1.1132230758667;0.0462314002215862;Lasalle;;
1548;301245.5;5038563;Bridge;Chemin-des-Irlandais;Bridge;Chemin-des-Irlandais;04/11/2009;0;1.65953600406647;35766.421875;671.687133789062;5111.06201171875;29983.673828125;30.4559841156006;0;49758.98828125;0;0.506537973880768;10.4847650527954;6.50979280471802;8.53916263580322;10.3084077835083;3.41628289222717;0;10.8149461746216;60.2999992370605;3;20.1000003814697;23.5;1;0;1;1;0;1;1;1;0;17214.27734375;0;1833.37561035156;0;16718.771484375;1.65953600406647;0;0;5;1;1;0;0;0;1;2598.419921875;7.86265897750854;3.57664227485657;0.0165953598916531;Sud-Ouest;;
647;299459;5044382.5;Frontenac;Mont-Royal;Frontenac;Mont-Royal;12/12/2007;0;0;10960.7392578125;2697.6279296875;323.904479980469;7939.20654296875;0;0;0;1;0;9.30207538604736;7.90012788772583;5.78044891357422;8.97956943511963;0;0;0;66.3000030517578;4;16.6000003814697;38.7000007629395;0;0;0;0;0;1;1;1;0;4.7285327911377;0;404.28955078125;0;9270.2880859375;0;1281.43237304688;0;3;2;1;1;0;0;0;4163.796875;8.33418273925781;1.09607398509979;0;Plateau-Mont-Royal;;
763;301948.6875;5044721;Notre-Dame;3550 Notre-Dame(face Joliette);Notre-Dame;3550 Notre-Dame(face Joliette);20/05/2009;0;0;46602.19140625;61.9784927368164;84.5161209106445;46455.6953125;0;0;0;0;0;10.7494029998779;4.12678718566895;4.4369421005249;10.7462539672852;0;0;0;34.4000015258789;2;17.2000007629395;34.4000015258789;0;1;0;1;1;0;1;1;0.5;0;0;22682.25;0;46.9534034729004;0;23872.98828125;0;5;1;1;0;0;0;0;5245.9921875;8.56521987915039;4.66021919250488;0;Mercier-Hochelaga-Maisonneuve;;
962;302149.4375;5048484;Hochelaga;Polyvalente Edouard-Montpetit;Hochelaga;Polyvalente Edouard-Montpetit;10/08/2009;0;5.64492511749268;14683.734375;1.99642896652222;0;14681.73828125;3.75656390190125;0;55251.54296875;0;1.73075699806213;9.59449577331543;0.691359996795654;0;9.5943603515625;1.32350504398346;0;10.9196519851685;41.9000015258789;2;21;37.7999992370605;0;0;0;0;0;0;1;1;0;1.99642896652222;1.8816419839859;8392.9873046875;1.8816419839859;0;0;6288.7509765625;1.8816419839859;6;0;0;0;0;0;0;8754.9892578125;9.07737922668457;1.46837341785431;0.0564492493867874;Mercier-Hochelaga-Maisonneuve;;
234;298296.4375;5038213.5;Greene;Saint-Antoine;Greene;Saint-Antoine;29/11/2007;0;0;18745.580078125;256.883026123047;5096.37548828125;13392.3212890625;0;0;0;1;0;9.83871269226074;5.54862117767334;8.53628540039062;9.50243663787842;0;0;0;53.5;4;13.3999996185303;49.2999992370605;0;0;0;0;1;1;1;1;1;0;0;13621.6806640625;0;5123.89892578125;0;0;0;2;0;0;0;0;0;0;2224.2109375;7.70715761184692;1.87455797195435;0;Westmount;;
1556;296748.15625;5035661;Saint-Patrick;5870 (Sidbec-Dosco);Saint-Patrick;5870 (Sidbec-Dosco);10/08/2009;0;7.52656698226929;9135.6591796875;249.553619384766;217.610748291016;8668.494140625;1048.08129882812;762.58251953125;16311.0009765625;0;2.01843905448914;9.11994075775146;5.5196738243103;5.38270807266235;9.06744956970215;6.95471620559692;6.63671112060547;9.69959545135498;42.9000015258789;3;14.3000001907349;28.8999996185303;0;0;0;0;0;0;0;0;0;0;0;4761.48291015625;1.8816419839859;187.664321899414;5.64492511749268;4186.51171875;0;2;0;0;2;0;0;0;5202.576171875;8.55690956115723;0.913565933704376;0.0752656683325768;Sud-Ouest;;
15238;289523.9375;5036867;Hicmore;Liesse Montée de;Hicmore;Liesse MontÚe de;30/04/2009;1;11.3716678619385;13657.125;3179.94873046875;3356.18212890625;7120.99365234375;11577.6630859375;1969.46118164062;34704.67578125;0;2.4311249256134;9.52201652526855;8.06462001800537;8.11855888366699;8.8708028793335;9.35683345794678;7.58551502227783;10.4546298980713;86.5999984741211;4;21.7000007629395;41.9000015258789;0;0;0;1;1;0;0;0;0;3516.92260742188;3.24904799461365;4531.71728515625;4.87357187271118;0;3.24904799461365;5608.484375;0;4;1;1;0;0;0;0;10286.57421875;9.2385950088501;1.36571252346039;0.113716676831245;Saint-Laurent;;
1480;295727.8125;5046298;Crémazie;Jarry inter. Sud;CrÚmazie;Jarry inter. Sud;05/03/2004;0;3.91756796836853;29943.65625;0;0;29943.65625;0;0;71464.3984375;0;1.36547100543976;10.3070726394653;0;0;10.3070726394653;0;0;11.1769552230835;21.2999992370605;1;21.2999992370605;51.7000007629395;1;0;0;0;0;0;1;1;0;6190.22314453125;0;0;0;5511.39990234375;0;18242.033203125;3.91756796836853;5;0;0;0;1;0;0;7020.0029296875;8.85651874542236;2.99436569213867;0.0391756780445576;Villeray-Saint-Michel-Parc-Extension;;
862;299454.8125;5046571.5;Masson;Pie-IX;Masson;Pie-IX;16/12/2008;0;0;33869.2109375;707.44482421875;1342.98547363281;31818.78125;0;0;0;1;0;10.4302616119385;6.56165981292725;7.20265007019043;10.3678121566772;0;0;0;64;3;21.2999992370605;57.7000007629395;1;0;1;1;1;1;1;1;0.5;18864.421875;0;0;0;13789.3759765625;0;1215.41345214844;0;6;0;0;0;0;0;1;6351.044921875;8.75637435913086;3.38692116737366;0;Rosemont-La-Petite-Patrie;;
1680;286347.125;5040313;Thimens;3000 garage STM;Thimens;3000 garage STM;17/09/2009;0;17.3160285949707;8868.0400390625;203.650177001953;122.19010925293;8542.19921875;2244.08056640625;1346.44836425781;53787.9921875;0;2.85163307189941;9.09020900726318;5.31640386581421;4.80557823181152;9.05277442932129;7.71605110168457;7.20522594451904;10.8928060531616;46.2999992370605;4;11.6000003814697;34.2999992370605;0;0;0;0;0;1;1;1;0;5183.82275390625;0;0;11.0192909240723;3684.216796875;6.2967381477356;0;0;3;0;0;0;0;0;0;12900.505859375;9.46502208709717;0.886803984642029;0.173160284757614;Saint-Laurent;;
9684;294312.53125;5033908.5;Lapierre;Saint-Patrick;Lapierre;Saint-Patrick;08/09/2009;0;6.35319900512695;14447.1923828125;2622.59716796875;3155.91357421875;8668.6826171875;5600.5341796875;9186.7392578125;0;0;1.84895801544189;9.57825469970703;7.87192010879517;8.05703258514404;9.06747245788574;8.63061714172363;9.12551593780518;0;46.2999992370605;3;15.3999996185303;41.7999992370605;0;0;0;0;0;1;1;1;0;0;0;6225.68994140625;0;3450.978515625;6.35319900512695;4770.5244140625;0;3;1;1;2;0;0;0;8014.88916015625;8.98905658721924;1.44471919536591;0.0635319873690605;Lasalle;;
13295;287359.875;5038071.5;Côte-Vertu;Pitfield;C¶te-Vertu;Pitfield;08/04/2009;0;1.6421400308609;23232.802734375;1135.93017578125;1024.48779296875;21072.384765625;3.21059608459473;44.9483489990234;34603.80859375;0;0.495999991893768;10.0533199310303;7.03520679473877;6.93194818496704;9.95571899414062;1.16645705699921;3.80551409721375;10.4517192840576;87.4000015258789;4;21.8999996185303;57.4000015258789;1;0;0;0;0;0;0;0;0;993.205749511719;0;12260.6162109375;0;105.576988220215;0;9873.4033203125;1.6421400308609;6;0;0;2;0;0;0;12080.810546875;9.39937400817871;2.32328033447266;0.0164214000105858;Saint-Laurent;;
75;301218;5038804.5;Chemin-des-Moulins;Irlandais des;Chemin-des-Moulins;Irlandais des;06/12/2004;0;15.542293548584;14144.896484375;0;4810.64697265625;9334.25;0;15421.861328125;48358.55078125;0;2.74356508255005;9.55710887908936;0;8.47858715057373;9.14144611358643;0;9.64354133605957;10.78639793396;36.7999992370605;3;12.3000001907349;26.8999996185303;1;0;0;0;0;0;1;1;0;10822.626953125;5.18076515197754;0;0;0;0;3322.27001953125;10.3615293502808;3;0;0;0;0;0;0;2428.79711914062;7.7951512336731;1.41448962688446;0.155422940850258;Sud-Ouest;;
1373;302579.25;5057360;Armand-Chaput;Henri-Bourassa Est;Armand-Chaput;Henri-Bourassa Est;17/11/2003;0;8.43975734710693;19054.3515625;1731.27404785156;1855.3056640625;15467.771484375;9421.16796875;0;130544.2421875;0;2.13295388221741;9.85505104064941;7.45661306381226;7.52580499649048;9.64651393890381;9.15071392059326;0;11.7794666290283;81.9000015258789;3;27.2999992370605;59.5;1;0;1;1;1;1;1;1;0;1782.95397949219;0;10010.3818359375;8.43975734710693;0;0;7261.01513671875;0;7;1;1;1;0;0;1;17457.052734375;9.76749897003174;1.90543520450592;0.0843975767493248;Pointe-aux-Trembles-RiviÞres-des-Prairies;;
6510;294415.0625;5053252.5;Gouin;Lacordaire;Gouin;Lacordaire;16/09/2009;0;60.4676818847656;5644.52734375;984.988708496094;1181.23889160156;3478.2998046875;25717.328125;40183.51171875;11069.72265625;0;4.1021089553833;8.63844203948975;6.89263010025024;7.07431888580322;8.15429878234863;10.1549196243286;10.6012115478516;9.31196880340576;37.5999984741211;3;12.5;17.2999992370605;0;0;0;0;0;1;1;1;0;0;0;1855.96545410156;1.5912549495697;1042.92919921875;57.2851753234863;2745.63256835938;1.5912549495697;2;0;0;0;0;0;0;13895.7685546875;9.53934001922607;0.564452707767487;0.604676842689514;MontrÚal-Nord;;
1733;300241.4375;5039094;Montagne;Wellington;Montagne;Wellington;21/11/2007;0;9.11169147491455;21330.96484375;5813.14794921875;4507.54541015625;11010.2724609375;0;0;100322.203125;0;2.20955801010132;9.96791458129883;8.66787719726562;8.41350841522217;9.30658435821533;0;0;11.5161418914795;43.7999992370605;3;14.6000003814697;37.5;0;0;0;0;0;1;1;1;0;3360.54638671875;0;7334.81787109375;9.11169147491455;0;0;10635.6005859375;0;2;0;0;0;0;0;0;1505.06701660156;7.31659269332886;2.13309645652771;0.0911169126629829;Sud-Ouest;;
981;303355.09375;5048161;Notre-Dame;6380 Est (Norco);Notre-Dame;6380 Est (Norco);14/07/2009;0;16.2630405426025;24784.185546875;105.491020202637;28.9583206176758;24649.736328125;190.622756958008;33.6393127441406;89103.0546875;0;2.78889489173889;10.1179609298706;4.65862607955933;3.36585807800293;10.1125211715698;5.25029611587524;3.51569509506226;11.3975486755371;46.0999984741211;3;15.3999996185303;35.9000015258789;1;0;1;1;1;1;1;1;0;0;0;11825.3369140625;1.80700504779816;126.175537109375;12.6490316390991;12832.6728515625;1.80700504779816;4;0;0;0;0;0;1;8936.9892578125;9.09795379638672;2.47841858863831;0.162630409002304;Mercier-Hochelaga-Maisonneuve;;
398;300442.4375;5039522.5;Nazareth;Wellington;Nazareth;Wellington;21/11/2007;0;0;19227.75;2395.13647460938;6098.173828125;10734.4404296875;0;0;0;2;0;9.86410999298096;7.78119516372681;8.715744972229;9.28121280670166;0;0;0;68.0999984741211;4;17;54.0999984741211;0;1;0;1;1;1;1;1;0;7366.99853515625;0;5953.3623046875;0;0;0;5907.39013671875;0;3;0;0;0;0;0;0;1385.78503417969;7.23402214050293;1.92277503013611;0;Sud-Ouest;;
1410;300743.46875;5038809;Mill;Oak;Mill;Oak;04/11/2009;0;54.7646865844727;9660.5498046875;466.1435546875;814.833618164062;8379.572265625;11414.9033203125;17094.943359375;55624.80859375;0;4.0030460357666;9.17580604553223;6.14449405670166;6.70298385620117;9.0335521697998;9.34267520904541;9.74653816223145;10.9263849258423;43.2000007629395;3;14.3999996185303;36.5;0;0;1;1;0;1;1;1;1;739.589965820312;48.1265449523926;5522.1494140625;3.31907200813293;0;0;3398.810546875;3.31907200813293;2;0;0;1;0;0;1;2059.25708007812;7.6301007270813;0.966054975986481;0.547646880149841;Sud-Ouest;;
9994;300088.3125;5052382;Loire de la;Voie serv. A-40 Est;Loire de la;Voie serv. A-40 Est;07/10/2009;0;11.8917169570923;13712.8310546875;0;1705.81420898438;12007.0166015625;0;7548.22021484375;0;0;2.47584199905396;9.52608680725098;0;7.44179821014404;9.39324569702148;0;8.92906665802002;0;31.6000003814697;3;10.5;26.2000007629395;0;1;0;1;1;0;1;1;0;0;5.09644985198975;0;0;595.008605957031;6.79526710510254;13117.822265625;0;2;0;0;4;0;0;0;12187.056640625;9.40812969207764;1.37128305435181;0.118917167186737;Anjou;;
262;300318.9375;5038601.5;Bridge;Wellington;Bridge;Wellington;21/11/2007;0;0;28612.916015625;8263.4501953125;7633.63525390625;12715.830078125;0;0;0;1;0;10.2616128921509;9.01959800720215;8.9403190612793;9.45060253143311;0;0;0;75.4000015258789;4;18.8999996185303;63.7000007629395;0;1;1;1;1;1;1;1;0;3307.6787109375;0;8946.1337890625;0;11001.078125;0;5358.02587890625;0;5;1;1;5;0;0;1;1944.2939453125;7.57265424728394;2.8612916469574;0;Sud-Ouest;;
757;302080.4375;5045052.5;Bourbonnière;Notre-Dame;BourbonniÞre;Notre-Dame;02/04/2009;0;3.24904799461365;55008.078125;2258.1123046875;728.173400878906;52021.79296875;7336.71484375;2365.87036132812;0;0;1.17836201190948;10.9152345657349;7.72228384017944;6.59053897857666;10.8594179153442;8.9006462097168;7.76890087127686;0;51.7999992370605;3;17.2999992370605;46.5999984741211;1;1;0;1;0;0;1;1;0;0;3.24904799461365;27740.30859375;0;0;0;27267.76953125;0;5;0;0;0;0;0;0;5598.39501953125;8.63023567199707;5.500807762146;0.0324904806911945;Mercier-Hochelaga-Maisonneuve;;
860;299678.375;5046468.5;Laurier;Pie-IX;Laurier;Pie-IX;15/12/2008;0;3.1082820892334;34586.18359375;586.080749511719;1088.08239746094;32912.01953125;0;15.3730306625366;0;1;1.13407003879547;10.4512100219727;6.37345790863037;6.99217176437378;10.401593208313;0;2.73261499404907;0;64.8000030517578;3;21.6000003814697;59.5;1;0;1;1;1;1;1;1;0;19340.6640625;0;0;3.1082820892334;14444.2939453125;0;801.224304199219;0;6;0;0;0;0;0;1;6259.47509765625;8.74185180664062;3.45861840248108;0.0310828201472759;Rosemont-La-Petite-Patrie;;
792;301670.5;5056729.5;Henri-Bourassa Est;10 605 est (Sortie Shell);Henri-Bourassa Est;10 605 est (Sortie Shell);21/11/2003;0;11.5573091506958;28501.625;315.272216796875;406.802856445312;27779.55078125;1684.72082519531;372.205749511719;321056.84375;0;2.4473180770874;10.257716178894;5.75343608856201;6.00832891464233;10.2320547103882;7.42935514450073;5.91944694519043;12.6793737411499;78.5999984741211;3;26.2000007629395;67.8000030517578;1;0;1;1;1;1;1;1;0;315.272216796875;0;14639.818359375;7.70487308502197;0;0;13546.53515625;3.85243606567383;7;1;1;0;0;0;1;16682.421875;9.72211074829102;2.85016250610352;0.115573093295097;Pointe-aux-Trembles-RiviÞres-des-Prairies;;
1216;284978.875;5041184.5;Camille;Gouin/Ruisseau;Camille;Gouin/Ruisseau;19/01/2009;0;25.4034938812256;14071.8525390625;208.488143920898;175.568954467773;13687.794921875;761.927795410156;1574.96044921875;144910.296875;0;3.23488688468933;9.5519323348999;5.33988189697266;5.16803216934204;9.52425956726074;6.63585186004639;7.361985206604;11.8838701248169;47.5999984741211;4;11.8999996185303;31.3999996185303;0;0;0;0;0;0;0;0;0;79.0060348510742;0;7459.486328125;10.584789276123;133.871337890625;14.8187046051025;6399.48876953125;0;2;0;0;0;0;0;0;14300.73828125;9.56806659698486;1.40718519687653;0.25403493642807;Ahuntsic-Cartierville;;
1517;303956.5;5049136;Notre-Dame;Chemin Gypsum;Notre-Dame;Chemin Gypsum;11/08/2009;0;23.443323135376;19583.166015625;161.186126708984;187.734436035156;19234.24609375;1809.98413085938;1536.89880371094;128832.765625;0;3.15458607673645;9.88242626190186;5.08256006240845;5.23502779006958;9.86444759368896;7.50107288360596;7.33752202987671;11.7662696838379;70.5999984741211;3;23.5;36;1;1;1;1;1;1;1;1;0;0;0;10554.8466796875;1.67452299594879;178.252899169922;16.745231628418;8850.06640625;5.02356910705566;5;1;1;0;0;0;1;10079.6845703125;9.21827697753906;1.95831656455994;0.234433233737946;Mercier-Hochelaga-Maisonneuve;;
14226;299836.34375;5035857.5;Église de l';LaSalle;?glise de l';LaSalle;20/11/2007;0;0;15972.6181640625;4027.54443359375;4848.3876953125;7096.6865234375;0;0;0;2;0;9.67863082885742;8.30091190338135;8.48640060424805;8.86738300323486;0;0;0;74.3000030517578;4;18.6000003814697;62.7999992370605;0;0;0;0;1;0;0;0;0;0;0;3443.48266601562;0;3921.55639648438;0;8607.5791015625;0;4;0;0;3;0;0;0;4406.05419921875;8.39073467254639;1.59726178646088;0;Verdun;;
776;302493.5;5046008.5;Notre-Dame;Sicard;Notre-Dame;Sicard;21/05/2009;1;21.0951442718506;37298.48828125;26.0451316833496;81.8561325073242;37190.58984375;199.026702880859;89.7021789550781;727694.875;0;3.04904294013977;10.526707649231;3.25983095169067;4.40496301651001;10.523811340332;5.29343891143799;4.49649477005005;13.4976367950439;49.5;3;16.5;43.7999992370605;0;0;0;1;1;0;1;1;0;0;0;17991.60546875;0;74.414665222168;1.506796002388;19232.470703125;19.5883483886719;5;1;1;0;0;0;0;6633.203125;8.79984283447266;3.72984886169434;0.210951447486877;Mercier-Hochelaga-Maisonneuve;;
4479;284025.90625;5038692.5;Henri-Bourassa O / Hymus;Sortie voie service A-40 dir.E;Henri-Bourassa O / Hymus;Sortie voie service A-40 dir.E;19/08/2009;0;15.0987482070923;18250.357421875;1280.251953125;4738.09228515625;12232.013671875;6495.31103515625;7170.1484375;61562.69921875;0;2.71461200714111;9.81194019317627;7.15481185913086;8.4633903503418;9.41181182861328;8.77883625030518;8.87768173217773;11.027811050415;69.1999969482422;4;17.2999992370605;48.2999992370605;1;0;0;0;0;0;1;1;0;1752.12719726562;1.67763900756836;10698.4189453125;5.03291606903076;11.6034917831421;8.38819408416748;5788.20849609375;0;4;0;0;0;0;0;0;15298.2607421875;9.63549423217773;1.82503569126129;0.150987476110458;Saint-Laurent;;
9862;299558.71875;5035873;Église de l';Wellington;?glise de l';Wellington;14/11/2007;0;0;17306.125;4401.81005859375;5116.67333984375;7787.64111328125;0;0;0;4;0;9.75881576538086;8.38977146148682;8.54026031494141;8.96029281616211;0;0;0;51.0999984741211;4;12.8000001907349;45.7999992370605;0;0;0;0;1;0;1;1;0.5;0;0;3627.18359375;0;4339.748046875;0;9339.193359375;0;2;0;0;0;0;0;0;4362.1328125;8.38071632385254;1.7306125164032;0;Verdun;;
1156;292194.53125;5047444;Gouin;1635 Est;Gouin;1635 Est;04/11/2003;0;276.771636962891;3542.3408203125;762.965698242188;0;2779.375;91982.65625;0;457393.21875;0;5.62319278717041;8.17254257202148;6.63721323013306;0;7.92998123168945;11.4293546676636;0;13.033299446106;28.1000003814697;3;9.39999961853027;20;0;0;0;0;0;1;0;1;0;391.391510009766;86.0236206054688;54.4975509643555;153.346450805664;0;26.1811027526855;3096.45166015625;11.2204723358154;1;0;0;1;0;0;0;10093.076171875;9.2196044921875;0.3542340695858;2.76771640777588;Ahuntsic-Cartierville;;
